part_number,current_draw_mA,S11_dB,S21_dB,S12_dB,S22_dB,timestamp
LNA00381P2,86.0,-13.909,34.838,-48.569,-11.267,2026-07-14T15:19:21
LNA00364P1,80.0,-13.236,34.475,-44.253,-11.235,2026-07-14T15:20:38
LNA00364P2,84.0,-14.105,34.733,-47.984,-11.197,2026-07-14T15:21:22
LNA00381P1,84.0,-13.693,34.65,-43.845,-10.367,2026-07-14T15:22:06
LNA00243P1,86.0,-14.308,34.801,-46.845,-12.311,2026-07-14T15:23:55
LNA00382P2,84.0,-13.51,34.797,-47.049,-11.715,2026-07-14T15:24:32
LNA00352P2,84.0,-12.973,34.546,-44.709,-11.18,2026-07-14T15:25:05
LNA00353P1,86.0,-13.8,34.749,-55.14,-11.71,2026-07-14T15:25:41
LNA00356P2,84.0,-13.695,34.705,-46.486,-11.074,2026-07-14T15:26:14
LNA00365P1,80.0,-13.63,34.779,-42.878,-10.87,2026-07-14T15:26:42
LNA00382P1,85.0,-14.387,34.703,-46.526,-10.799,2026-07-14T15:27:23
LNA00365P2,85.0,-14.481,34.852,-47.486,-11.5,2026-07-14T15:28:20
LNA00358P1,82.0,-13.867,34.866,-48.304,-11.951,2026-07-14T15:28:55
LNA00366P1,81.0,-13.358,34.594,-49.872,-11.299,2026-07-14T15:29:46
LNA00383P1,81.0,-13.466,34.32,-46.984,-11.216,2026-07-14T15:30:34
LNA00383P2,83.0,-13.791,34.7,-45.52,-10.876,2026-07-14T15:31:13
LNA00353P2,82.0,-13.202,34.578,-49.073,-11.672,2026-07-14T15:31:45
LNA00354P1,83.0,-13.756,34.752,-46.322,-11.511,2026-07-14T15:32:19
LNA00357P2,81.0,-13.047,34.599,-47.756,-11.608,2026-07-14T15:33:10
LNA00366P2,85.0,-13.684,34.646,-48.325,-11.227,2026-07-14T15:35:15
LNA00374P2,86.0,-13.669,34.77,-51.322,-12.139,2026-07-14T15:36:04
LNA00384P1,83.0,-13.424,34.606,-45.703,-10.612,2026-07-14T15:36:50
LNA00355P1,83.0,-13.171,34.716,-50.038,-11.879,2026-07-14T15:38:51
LNA00359P1,82.0,-13.787,34.715,-54.217,-11.584,2026-07-14T15:39:38
LNA00384P2,83.0,-14.254,34.82,-44.535,-11.84,2026-07-14T15:40:24
